Movie Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross Collection,Popularity,Certification
Natural Born Killers,Woody Harrelson,Juliette Lewis,Tom Sizemore,Rodney Dangerfield,"243,415",Action,Crime,Romance,1.85 : 1,"1,194",R
They Live,Roddy Piper,Keith David,Meg Foster,George 'Buck' Flower,"137,369",Action,Horror,Sci-Fi,2.39 : 1,"1,590",R
I Am Legend,Will Smith,Alice Braga,Charlie Tahan,Salli Richardson-Whitfield,"784,577",Action,Drama,Horror,"$585,410,052","1,655",PG-13
The Matrix Reloaded,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"611,744",Action,Sci-Fi,,"$741,847,937","1,779",R
Batman v Superman: Dawn of Justice (Ultimate Edition),Amy Adams,Ben Affleck,Henry Cavill,Jesse Eisenberg,"71,844",Action,Adventure,Sci-Fi,,"1,814",R
Dr. No,Sean Connery,Ursula Andress,Bernard Lee,Joseph Wiseman,"173,737",Action,Adventure,Thriller,,"2,069",PG
Team America: World Police,Trey Parker,Matt Stone,Elle Russ,Kristen Miller,"174,559",Action,Comedy,,2.39 : 1,"2,201",R
Rango,Johnny Depp,Isla Fisher,Timothy Olyphant,Abigail Breslin,"281,135",Animation,Action,Adventure,1.78 : 1 (HDTV),"2,225",PG
Willow,Val Kilmer,Joanne Whalley,Warwick Davis,Jean Marsh,"127,290",Action,Adventure,Drama,,"2,478",PG
RocknRolla,Gerard Butler,Tom Wilkinson,Idris Elba,Thandiwe Newton,"259,622",Action,Crime,Thriller,2.35 : 1,"2,511",R
Ronin,Robert De Niro,Jean Reno,Natascha McElhone,Stellan Skarsgård,"189,395",Action,Crime,Thriller,2.39 : 1,"2,627",R
Friday Night Lights,Billy Bob Thornton,Jay Hernandez,Derek Luke,Lucas Black,"65,418",Action,Drama,Sport,2.35 : 1,"2,694",PG-13
Lethal Weapon 2,Mel Gibson,Danny Glover,Joe Pesci,Patsy Kensit,"183,049",Action,Crime,Thriller,,"2,744",R
Anthropoid,Jamie Dornan,Cillian Murphy,Brian Caspe,Karel Hermánek Jr.,"51,365",Action,Biography,Drama,,"2,811",R
The Witcher: Nightmare of the Wolf,Theo James,Mary McDonnell,Lara Pulver,Graham McTavish,"47,731",Animation,Action,Adventure,,"2,926",TV-MA
Silverado,Kevin Kline,Scott Glenn,Kevin Costner,Danny Glover,"46,629",Action,Crime,Drama,,"3,154",PG-13
The Croods,Nicolas Cage,Ryan Reynolds,Emma Stone,Catherine Keener,"224,172",Animation,Action,Adventure,,"3,186",PG
In the Line of Fire,Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,"109,274",Action,Crime,Drama,2.39 : 1,"3,358",R
Kung Fu Panda 2,Jack Black,Angelina Jolie,Jackie Chan,Dustin Hoffman,"301,401",Animation,Action,Adventure,2.39 : 1,"3,377",PG
Rise of the Guardians,Hugh Jackman,Alec Baldwin,Isla Fisher,Chris Pine,"185,013",Animation,Action,Adventure,1.78 : 1,"3,759",PG
The Transformers: The Movie,Orson Welles,Robert Stack,Leonard Nimoy,Norman Alden,"41,034",Animation,Action,Adventure,1.33 : 1,"4,061",PG
War Horse,Jeremy Irvine,Emily Watson,David Thewlis,Benedict Cumberbatch,"161,934",Action,Adventure,Drama,2.39 : 1,"4,135",PG-13
Star Trek VI: The Undiscovered Country,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,"78,755",Action,Adventure,Sci-Fi,,"4,182",PG
Vanishing Point,Barry Newman,Cleavon Little,Charlotte Rampling,Dean Jagger,"29,769",Action,Crime,Thriller,,"4,340",R
The Italian Job,Michael Caine,Noël Coward,Benny Hill,Raf Vallone,"48,619",Action,Comedy,Crime,,"4,577",G
Django,Franco Nero,José Canalejas,José Bódalo,Loredana Nusciak,"29,666",Action,Drama,Western,,"4,855",Not Rated
Arlington Road,Jeff Bridges,Tim Robbins,Joan Cusack,Hope Davis,"89,568",Action,Crime,Drama,,_,R
The Way of the Dragon,Bruce Lee,Chuck Norris,Nora Miao,Ping-Ou Wei,"39,313",Action,Adventure,Comedy,,_,R
Magnum Force,Clint Eastwood,Hal Holbrook,Mitchell Ryan,David Soul,"64,562",Action,Crime,Mystery,2.39 : 1,_,R
The Hitcher,Rutger Hauer,C. Thomas Howell,Jennifer Jason Leigh,Jeffrey DeMunn,"50,449",Action,Mystery,Thriller,"$5,844,868",_,R
Fist of Fury,Bruce Lee,Nora Miao,James Tien,Maria Yi,"32,295",Action,Drama,Romance,,_,R
Runaway Train,Jon Voight,Eric Roberts,Rebecca De Mornay,Kyle T. Heffner,"31,184",Action,Adventure,Drama,1.85 : 1,_,R
The Siege of Jadotville,Richard Lukunku,Danny Sapani,Andrew Stock,Mark Strong,"42,266",Action,Drama,History,,_,TV-MA
Mongol: The Rise of Genghis Khan,Tadanobu Asano,Amadu Mamadakov,Khulan Chuluun,Honglei Sun,"48,124",Action,Biography,Drama,2.35 : 1,_,R
Bajirao Mastani,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas,Tanvi Azmi,"37,171",Action,Drama,History,,_,Not Rated
'71,Jack O'Connell,Sam Reid,Sean Harris,Paul Popplewell,"58,369",Action,Crime,Drama,,_,R
Harry Brown,Michael Caine,Emily Mortimer,David Bradley,Charlie Creed-Miles,"89,760",Action,Crime,Drama,2.35 : 1,_,R
The Good the Bad the Weird,Song Kang-ho,Lee Byung-hun,Jung Woo-sung,Je-mun Yun,"36,912",Action,Adventure,Comedy,2.35 : 1,_,R
Final Fantasy VII: Advent Children,Takahiro Sakurai,Ayumi Ito,Shôtarô Morikubo,Maaya Sakamoto,"57,324",Animation,Action,Adventure,,_,PG-13
Marshland,Javier Gutiérrez,Raúl Arévalo,María Varod,Perico Cervantes,"35,228",Action,Crime,Mystery,,_,TV-MA
Holiday: A Soldier is Never Off Duty,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,Sumeet Raghavan,"29,245",Action,Crime,Thriller,,_,Not Rated
Mission: Impossible,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,"449,144",Action,Adventure,Thriller,"$457,696,391",20,PG-13
Extraction II,Chris Hemsworth,Golshifteh Farahani,Adam Bessa,Tornike Gogrichiani,"101,914",Action,Thriller,,2.35 : 1,23,R
The Mummy,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,"446,333",Action,Adventure,Fantasy,"$415,933,406",247,PG-13
Man of Steel,Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,"791,611",Action,Adventure,Sci-Fi,,337,PG-13
Prey,Amber Midthunder,Dakota Beavers,Dane DiLiegro,Stormee Kipp,"210,071",Action,Adventure,Drama,,397,R
Tropic Thunder,Ben Stiller,Jack Black,Robert Downey Jr.,Jeff Kahn,"432,018",Action,Comedy,War,2.35 : 1,404,R
Free Guy,Ryan Reynolds,Jodie Comer,Taika Waititi,Lil Rel Howery,"396,153",Action,Adventure,Comedy,2.39 : 1,442,PG-13
Wrath of Man,Jason Statham,Holt McCallany,Josh Hartnett,Rocci Boy Williams,"193,187",Action,Crime,Thriller,,566,R
WarGames,Matthew Broderick,Ally Sheedy,John Wood,Dabney Coleman,"105,325",Action,Drama,Sci-Fi,1.85 : 1,743,PG
Escape from New York,Kurt Russell,Lee Van Cleef,Ernest Borgnine,Donald Pleasence,"150,117",Action,Adventure,Sci-Fi,2.39 : 1,770,R
Blade,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright,"286,507",Action,Horror,Sci-Fi,2.39 : 1,911,R
Pirates of the Caribbean: At World's End,Johnny Depp,Orlando Bloom,Keira Knightley,Geoffrey Rush,"671,029",Action,Adventure,Fantasy,2.39 : 1,917,PG-13
American Made,Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons,"195,525",Action,Comedy,Crime,1.85 : 1,946,R
Batman Returns,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken,"316,768",Action,Crime,Fantasy,,"1,027",PG-13
Shooter,Mark Wahlberg,Michael Peña,Rhona Mitra,Danny Glover,"345,261",Action,Drama,Thriller,,"1,054",R
Furious 7,Vin Diesel,Paul Walker,Dwayne Johnson,Jason Statham,"404,039",Action,Crime,Thriller,,"1,082",PG-13
Snowpiercer,Chris Evans,Jamie Bell,Tilda Swinton,Ed Harris,"374,223",Action,Drama,Sci-Fi,1.85 : 1,"1,135",R
Iron Man 3,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle,"874,397",Action,Adventure,Sci-Fi,"$1,215,577,205","1,136",PG-13
Live Free or Die Hard,Bruce Willis,Justin Long,Timothy Olyphant,Maggie Q,"413,702",Action,Thriller,,2.35 : 1,"1,313",PG-13
DC League of Super-Pets,Dwayne Johnson,Kevin Hart,Kate McKinnon,John Krasinski,"70,762",Animation,Action,Adventure,,"1,372",PG
Deja Vu,Denzel Washington,Paula Patton,Jim Caviezel,Val Kilmer,"319,208",Action,Crime,Sci-Fi,"$180,557,550","1,409",PG-13
Creed II,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,"147,750",Action,Drama,Sport,"$214,215,889","1,421",PG-13
Dredd,Karl Urban,Olivia Thirlby,Lena Headey,Rachel Wood,"284,336",Action,Crime,Sci-Fi,"$41,037,742","1,435",R
"I, Robot",Will Smith,Bridget Moynahan,Bruce Greenwood,Alan Tudyk,"557,784",Action,Mystery,Sci-Fi,"$353,133,898","1,436",PG-13
Deepwater Horizon,Mark Wahlberg,Kurt Russell,Douglas M. Griffin,James DuMont,"175,440",Action,Drama,History,,"1,651",PG-13
Everest,Jason Clarke,Ang Phula Sherpa,Thomas M. Wright,Martin Henderson,"225,278",Action,Adventure,Biography,2.39 : 1,"1,947",PG-13
Real Steel,Hugh Jackman,Evangeline Lilly,Dakota Goyo,Anthony Mackie,"343,274",Action,Drama,Sci-Fi,"$299,268,508","2,205",PG-13
Desperado,Antonio Banderas,Salma Hayek,Joaquim de Almeida,Cheech Marin,"192,077",Action,Crime,Drama,1.85 : 1,"2,265",R
We Were Soldiers,Mel Gibson,Madeleine Stowe,Greg Kinnear,Sam Elliott,"147,223",Action,Drama,History,2.35 : 1,"2,460",R
Rocky Balboa,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,Burt Young,"225,965",Action,Drama,Sport,"$155,929,020","2,672",PG
Allied,Brad Pitt,Marion Cotillard,Jared Harris,Vincent Ebrahim,"163,530",Action,Drama,Romance,,"2,828",R
Die Hard 2,Bruce Willis,William Atherton,Bonnie Bedelia,Reginald VelJohnson,"372,047",Action,Thriller,,,"2,948",R
No Way Out,Kevin Costner,Gene Hackman,Sean Young,Will Patton,"43,347",Action,Crime,Drama,,"3,078",R
Kung Fu Panda 3,Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie,"172,451",Animation,Action,Adventure,2.39 : 1,"3,126",PG
Payback,Mel Gibson,Gregg Henry,Maria Bello,David Paymer,"141,917",Action,Crime,Drama,2.39 : 1,"3,391",R
The Poseidon Adventure,Gene Hackman,Ernest Borgnine,Shelley Winters,Red Buttons,"47,520",Action,Adventure,Drama,,"3,412",PG
Flags of Our Fathers,Ryan Phillippe,Barry Pepper,Joseph Cross,Jesse Bradford,"126,683",Action,Adventure,Drama,"$65,900,249","3,503",R
Brawl in Cell Block 99,Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier,"71,347",Action,Crime,Drama,,"3,531",Not Rated
Three Kings,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,"176,609",Action,Adventure,Comedy,2.39 : 1,"3,984",R
Defiance,Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos,"152,527",Action,Drama,History,1.85 : 1,"4,004",R
Casualties of War,Michael J. Fox,Sean Penn,Don Harvey,John C. Reilly,"46,618",Action,Crime,Drama,,"4,561",R
Ong-Bak: The Thai Warrior,Tony Jaa,Phetthai Vongkumlao,Pumwaree Yodkamol,Suchao Pongwilai,"76,676",Action,Crime,Thriller,1.85 : 1,_,R
Mission Majnu,Sidharth Malhotra,Rashmika Mandanna,Parmeet Sethi,Zakir Hussain,"42,236",Action,Drama,History,,_,TV-MA
Mosul,Waleed Elgadi,Suhail Dabbach,Adam Bessa,Is'haq Elias,"28,857",Action,Drama,War,,_,TV-MA
Kon-Tiki,Pål Sverre Hagen,Anders Baasmo,Gustaf Skarsgård,Odd-Magnus Williamson,"50,704",Action,Adventure,Biography,2.35 : 1,_,PG-13
Megan Leavey,Kate Mara,Ramón Rodríguez,Tom Felton,Bradley Whitford,"25,223",Action,Biography,Drama,2.35 : 1,_,PG-13
The Girl Who Played with Fire,Noomi Rapace,Michael Nyqvist,Lena Endre,Peter Andersson,"97,057",Action,Crime,Drama,"$67,153,225",_,R
An Action Hero,Ayushmann Khurrana,Jaideep Ahlawat,Neeraj Madhav,Gautam Joglekar,"30,110",Action,Comedy,Crime,,_,
District B13,Cyril Raffaelli,David Belle,Tony D'Amario,Bibi Naceri,"72,341",Action,Crime,Sci-Fi,2.35 : 1,_,R
Enthiran,Rajinikanth,Aishwarya Rai Bachchan,Danny Denzongpa,Santhanam,"28,843",Action,Sci-Fi,Thriller,,_,Not Rated
God Bless America,Joel Murray,Tara Lynne Barr,Mackenzie Brooke Smith,Melinda Page Hamilton,"71,201",Action,Comedy,Crime,2.35 : 1,_,R
Don 2,Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra Jonas,"55,533",Action,Crime,Thriller,2.35 : 1,_,Not Rated
In Order of Disappearance,Stellan Skarsgård,Bruno Ganz,Pål Sverre Hagen,Jakob Oftebro,"28,245",Action,Comedy,Crime,,_,R
Dragon Ball Z: Battle of Gods,Masako Nozawa,Hiromi Tsuru,Ryô Horikawa,Masaharu Satô,"29,053",Animation,Action,Adventure,1.78 : 1,_,TV-PG
Don,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal,Isha Koppikar,"39,116",Action,Crime,Thriller,,_,Not Rated
JCVD,Jean-Claude Van Damme,Valérie Bodson,Hervé Sogne,Rock Chen,"39,724",Action,Comedy,Crime,,_,R
Kaabil,Hrithik Roshan,Yami Gautam,Ronit Roy,Rohit Roy,"28,164",Action,Crime,Drama,,_,Not Rated
Gabbar Is Back,Akshay Kumar,Shruti Haasan,Kareena Kapoor,Suman,"25,880",Action,Crime,Drama,,_,Not Rated
Koi... Mil Gaya,Rekha,Hrithik Roshan,Preity G Zinta,Prem Chopra,"25,902",Action,Drama,Romance,,_,Not Rated
Micmacs,Dany Boon,André Dussollier,Nicolas Marié,Yolande Moreau,"30,864",Action,Comedy,Crime,2.35 : 1,_,R
Marighella,Seu Jorge,Bruno Gagliasso,Luiz Carlos Vasconcelos,Humberto Carrão,"55,650",Action,Drama,History,,_,
Fanaa,Aamir Khan,Kajol,Rishi Kapoor,Tabu,"34,027",Action,Drama,Romance,,_,Not Rated
The Flash,Ezra Miller,Michael Keaton,Sasha Calle,Michael Shannon,"105,688",Action,Adventure,Fantasy,"$267,631,378",19,PG-13
Transformers,Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,"658,801",Action,Adventure,Sci-Fi,"$709,709,780",112,PG-13
Independence Day,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,"590,722",Action,Adventure,Sci-Fi,,244,PG-13
The Unbearable Weight of Massive Talent,Nicolas Cage,Pedro Pascal,Tiffany Haddish,Sharon Horgan,"129,532",Action,Comedy,Crime,2.39 : 1,263,R
The Northman,Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke,"231,725",Action,Adventure,Drama,2.00 : 1,307,R
Jack Reacher,Tom Cruise,Rosamund Pike,Richard Jenkins,Werner Herzog,"352,297",Action,Mystery,Thriller,,342,PG-13
Rush Hour,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,"281,836",Action,Comedy,Crime,"$244,721,064",376,PG-13
World War Z,Brad Pitt,Mireille Enos,Daniella Kertesz,James Badge Dale,"691,856",Action,Adventure,Horror,2.39 : 1,417,PG-13
Star Trek Beyond,Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana,"252,940",Action,Adventure,Sci-Fi,,576,PG-13
Greyhound,Tom Hanks,Elisabeth Shue,Stephen Graham,Matt Helm,"105,058",Action,Drama,History,2.39 : 1,830,PG-13
Shazam!,Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer,"368,579",Action,Adventure,Comedy,2.39 : 1,838,PG-13
Death Proof,Kurt Russell,Zoë Bell,Rosario Dawson,Vanessa Ferlito,"302,954",Action,Thriller,,2.35 : 1,858,R
Oblivion,Tom Cruise,Morgan Freeman,Andrea Riseborough,Olga Kurylenko,"539,935",Action,Adventure,Sci-Fi,2.39 : 1,902,PG-13
Thor,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston,"874,586",Action,Fantasy,,"$449,326,618",918,PG-13
The Italian Job,Donald Sutherland,Mark Wahlberg,Edward Norton,Charlize Theron,"379,172",Action,Crime,Thriller,"$176,070,171","1,323",PG-13
Super 8,Elle Fanning,AJ Michalka,Kyle Chandler,Joel Courtney,"362,007",Action,Mystery,Sci-Fi,2.35 : 1,"1,336",PG-13
Constantine,Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf,"360,589",Action,Fantasy,Horror,2.40 : 1,"1,348",R
RED,Bruce Willis,Helen Mirren,Morgan Freeman,Mary-Louise Parker,"316,656",Action,Comedy,Crime,2.35 : 1,"1,360",PG-13
Stargate,Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors,"198,297",Action,Adventure,Sci-Fi,"$196,567,262","1,363",PG-13
Highlander,Christopher Lambert,Sean Connery,Clancy Brown,Roxanne Hart,"141,725",Action,Adventure,Fantasy,,"1,402",R
Spy,Melissa McCarthy,Rose Byrne,Jude Law,Jason Statham,"251,742",Action,Comedy,,,"1,502",R
Sicario: Day of the Soldado,Benicio Del Toro,Josh Brolin,Isabela Merced,Jeffrey Donovan,"157,709",Action,Crime,Drama,,"1,515",R
Cloverfield,Mike Vogel,Jessica Lucas,Lizzy Caplan,T.J. Miller,"410,659",Action,Adventure,Horror,1.85 : 1,"1,537",PG-13
Underworld,Kate Beckinsale,Scott Speedman,Shane Brolly,Michael Sheen,"278,284",Action,Fantasy,Thriller,2.35 : 1,"1,671",R
Fast & Furious 6,Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,"406,959",Action,Adventure,Crime,,"1,727",PG-13
9,Elijah Wood,Jennifer Connelly,Crispin Glover,Christopher Plummer,"143,814",Animation,Action,Adventure,1.85 : 1,"1,785",PG-13
The Spy Who Loved Me,Roger Moore,Barbara Bach,Curd Jürgens,Richard Kiel,"112,807",Action,Adventure,Thriller,,"1,872",PG
Fallen,Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz,"87,848",Action,Crime,Drama,,"1,873",R
Smokey and the Bandit,Burt Reynolds,Sally Field,Jerry Reed,Mike Henry,"54,636",Action,Adventure,Comedy,,"1,884",PG
Planet Terror,Rose McGowan,Freddy Rodríguez,Josh Brolin,Marley Shelton,"217,890",Action,Comedy,Horror,2.39 : 1,"1,973",R
Ant-Man and the Wasp,Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins,"429,640",Action,Adventure,Comedy,"$622,674,139","1,994",PG-13
Maverick,Mel Gibson,Jodie Foster,James Garner,Graham Greene,"115,686",Action,Adventure,Comedy,2.39 : 1,"2,017",PG
22 Jump Street,Channing Tatum,Jonah Hill,Ice Cube,Nick Offerman,"391,894",Action,Comedy,Crime,2.35 : 1,"2,018",R
Logan Lucky,Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie,"156,183",Action,Comedy,Crime,,"2,113",PG-13
Bronson,Tom Hardy,Kelly Adams,Luing Andrews,Katy Barker,"136,731",Action,Crime,Drama,,"2,150",R
Pitch Black,Radha Mitchell,Cole Hauser,Vin Diesel,Keith David,"248,076",Action,Horror,Sci-Fi,2.39 : 1,"2,195",R
The Last Boy Scout,Bruce Willis,Damon Wayans,Chelsea Field,Noble Willingham,"108,134",Action,Comedy,Crime,,"2,218",R
Public Enemies,Christian Bale,Johnny Depp,Christian Stolte,Jason Clarke,"311,018",Action,Biography,Crime,2.35 : 1,"2,312",R
Chronicle,Dane DeHaan,Alex Russell,Michael B. Jordan,Michael Kelly,"257,745",Action,Drama,Sci-Fi,1.85 : 1,"2,335",PG-13
Den of Thieves,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,50 Cent,"118,525",Action,Crime,Drama,,"2,379",R
Rambo,Sylvester Stallone,Julie Benz,Matthew Marsden,Graham McTavish,"238,769",Action,Adventure,Thriller,"$113,244,290","2,649",R
The Kingdom,Jamie Foxx,Chris Cooper,Jennifer Garner,Jason Bateman,"129,779",Action,Drama,Thriller,,"2,833",R
Body of Lies,Leonardo DiCaprio,Russell Crowe,Mark Strong,Golshifteh Farahani,"233,810",Action,Drama,Thriller,2.39 : 1,"2,853",R
Chip 'n Dale: Rescue Rangers,Andy Samberg,John Mulaney,KiKi Layne,Will Arnett,"44,342",Animation,Action,Adventure,,"2,879",PG
The Foreigner,Katie Leung,Jackie Chan,Rufus Jones,Mark Tandy,"119,067",Action,Thriller,,2.35 : 1,"2,938",R
Brotherhood of the Wolf,Samuel Le Bihan,Mark Dacascos,Jérémie Renier,Vincent Cassel,"69,073",Action,Adventure,Drama,2.35 : 1,"3,370",R
Hellboy II: The Golden Army,Ron Perlman,Selma Blair,Doug Jones,John Alexander,"279,579",Action,Adventure,Fantasy,,"3,694",PG-13
The Towering Inferno,Paul Newman,Steve McQueen,William Holden,Faye Dunaway,"46,429",Action,Drama,Thriller,,"3,957",PG
Filth,James McAvoy,Jamie Bell,Eddie Marsan,Imogen Poots,"112,812",Action,Comedy,Crime,2.35 : 1,"4,225",R
A Most Violent Year,Oscar Isaac,Jessica Chastain,David Oyelowo,Alessandro Nivola,"75,227",Action,Crime,Drama,2.35 : 1,"4,678",R
Spy Game,Robert Redford,Brad Pitt,Catherine McCormack,Stephen Dillane,"161,677",Action,Crime,Thriller,2.39 : 1,"4,729",R
Ichi the Killer,Tadanobu Asano,Nao Ômori,Shin'ya Tsukamoto,Paulyn Sun,"58,350",Action,Crime,Drama,1.85 : 1,_,
Ip Man 4: The Finale,Donnie Yen,Scott Adkins,Danny Kwok-Kwan Chan,Vanness Wu,"34,921",Action,Biography,Drama,2.35 : 1,_,Not Rated
Unleashed,Jet Li,Bob Hoskins,Morgan Freeman,Kerry Condon,"106,139",Action,Crime,Thriller,,_,R
The War of the Worlds,Gene Barry,Ann Robinson,Les Tremayne,Robert Cornthwaite,"37,361",Action,Sci-Fi,Thriller,,_,G
Taxi,Samy Naceri,Frédéric Diefenthal,Marion Cotillard,Manuela Gourary,"86,667",Action,Comedy,Crime,2.35 : 1,_,Not Rated
Thunderbolt and Lightfoot,Clint Eastwood,Jeff Bridges,George Kennedy,Geoffrey Lewis,"27,117",Action,Comedy,Crime,,_,R
Juice,Omar Epps,Tupac Shakur,Jermaine Hopkins,Khalil Kain,"28,823",Action,Crime,Drama,,_,R
Son of Rambow,Bill Milner,Will Poulter,Jessica Hynes,Anna Wing,"32,616",Action,Adventure,Comedy,2.35 : 1,_,PG-13
Ip Man 3,Donnie Yen,Lynn Xiong,Jin Zhang,Mike Tyson,"58,338",Action,Biography,Drama,,_,PG-13
Dragon: The Bruce Lee Story,Jason Scott Lee,Lauren Holly,Robert Wagner,Michael Learned,"32,118",Action,Biography,Drama,,_,PG-13
The Protector,Tony Jaa,Nathan Jones,Xing Jin,Phetthai Vongkumlao,"38,294",Action,Crime,Drama,,_,R
Curse of the Golden Flower,Chow Yun-Fat,Gong Li,Jay Chou,Ye Liu,"45,223",Action,Drama,Romance,2.35 : 1,_,R
Kabir Singh,Shahid Kapoor,Kiara Advani,Nikita Dutta,Soham Majumdar,"36,408",Action,Drama,Romance,,_,Not Rated
Sultan,Salman Khan,Anushka Sharma,Randeep Hooda,Amit Sadh,"49,389",Action,Drama,Romance,,_,Not Rated
Main Hoon Na,Shah Rukh Khan,Sushmita Sen,Suniel Shetty,Zayed Khan,"38,054",Action,Comedy,Drama,,_,Not Rated
Dhamaka,Kartik Aaryan,Mrunal Thakur,Amruta Subhash,Soham Majumdar,"41,967",Action,Crime,Drama,,_,TV-14
The Warlords,Jet Li,Andy Lau,Takeshi Kaneshiro,Jinglei Xu,"27,444",Action,Adventure,Drama,2.35 : 1,_,R
The Legend Is Born: Ip Man,Yu-Hang To,Yi Huang,Biao Yuen,Siu-Wong Fan,"32,576",Action,Biography,Drama,,_,Not Rated
Vikrant Rona,Sudeep,Nirup Bhandari,Neetha Ashok,Jacqueline Fernandez,"28,087",Action,Crime,Drama,,_,Not Rated
Mission: Impossible III,Tom Cruise,Michelle Monaghan,Ving Rhames,Philip Seymour Hoffman,"374,359",Action,Adventure,Thriller,"$398,479,497",40,PG-13
Sisu,Jorma Tommila,Aksel Hennie,Jack Doolan,Mimosa Willamo,"45,219",Action,War,,2.39 : 1,76,R
Top Gun,Tom Cruise,Tim Robbins,Kelly McGillis,Val Kilmer,"478,960",Action,Drama,,,132,PG
The Woman King,Viola Davis,Thuso Mbedu,Lashana Lynch,Sheila Atim,"65,047",Action,Drama,History,,344,PG-13
Doctor Strange in the Multiverse of Madness,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Wong,"445,397",Action,Adventure,Fantasy,"$955,775,804",369,PG-13
Captain America: The First Avenger,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell,"870,165",Action,Adventure,Sci-Fi,"$370,569,774",406,PG-13
Jurassic World,Chris Pratt,Bryce Dallas Howard,Ty Simpkins,Judy Greer,"660,731",Action,Adventure,Sci-Fi,"$1,671,537,444",445,PG-13
Jumanji: Welcome to the Jungle,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black,"400,735",Action,Adventure,Comedy,,448,PG-13
28 Weeks Later,Jeremy Renner,Rose Byrne,Robert Carlyle,Harold Perrineau,"285,051",Action,Adventure,Horror,1.85 : 1,468,R
Conan the Barbarian,Arnold Schwarzenegger,James Earl Jones,Max von Sydow,Sandahl Bergman,"156,928",Action,Adventure,Fantasy,"$68,851,475",557,R
The Magnificent Seven,Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio,"220,653",Action,Adventure,Drama,2.39 : 1,709,PG-13
Pacific Rim,Idris Elba,Charlie Hunnam,Rinko Kikuchi,Charlie Day,"516,008",Action,Adventure,Sci-Fi,"$411,002,906",742,PG-13
Game Night,Jason Bateman,Rachel McAdams,Kyle Chandler,Sharon Horgan,"246,351",Action,Adventure,Comedy,,751,R
X-Men: Apocalypse,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,"448,410",Action,Adventure,Sci-Fi,"$543,934,105",844,PG-13
Clear and Present Danger,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,"104,411",Action,Crime,Drama,2.39 : 1,864,PG-13
Solo: A Star Wars Story,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover,"363,813",Action,Adventure,Sci-Fi,"$392,924,807",881,PG-13
The Mask,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,"402,257",Action,Comedy,Crime,1.85 : 1,970,PG-13
The Amazing Spider-Man,Andrew Garfield,Emma Stone,Rhys Ifans,Irrfan Khan,"678,003",Action,Adventure,Sci-Fi,,984,PG-13
The Last Kingdom: Seven Kings Must Die,Mark Rowley,Pekka Strang,Zoltan Andrasi,Ingrid García Jonsson,"29,424",Action,Drama,History,,"1,039",TV-MA
